request_id,category,source_field,value,name,type,total_dependencies_for_request
1,planning_instruments,plan_primary_type,other,,,9
1,planning_instruments,bebauungsplan,"Lurup 13 (approved on September 1, 1964)",,,9
1,planning_instruments,plan_references,,Lurup 13,other,9
1,regulatory_ordinances,additional_regulations,"BauNVO (June 26, 1962)",,,9
1,regulation_texts,zone_code,WR I o,,,9
1,regulation_texts,type,WR I o,,,9
1,regulation_texts,building_depth,15 m,,,9
1,regulation_texts,grz,0.4,,,9
1,regulation_texts,gfz,0.4,,,9
2,planning_instruments,development_plan,Durchführungsplan 391 B,,,14
2,planning_instruments,plan_name,391 B,,,14
2,planning_instruments,plan_type,Durchführungsplan,,,14
2,planning_instruments,plan_primary_type,implementation_plan,,,14
2,planning_instruments,plan_references,,391 B,implementation_plan,14
2,regulatory_ordinances,legal_ordinance,Baupolizeiverordnung,,,14
2,regulatory_ordinances,_notes,"Baupolizeiverordnung from June 8, 1938, in the applicable version",,,14
2,regulation_texts,zone_code,Fläche für besondere Zwecke (Sportplatz),,,14
2,regulation_texts,type,Fläche für besondere Zwecke (Sportplatz),,,14
2,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 37 Abs. 3 HBauO,,,14
2,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 15 Abs. 2 GarVo,,,14
2,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 37 Abs. 3 HBauO,,,14
2,granted_exemption_legal_references,granted_exemptions.1.text,§ 37,,,14
2,granted_exemption_legal_references,granted_exemptions.1.text,§ 15,,,14
3,planning_instruments,development_plan,Durchführungsplan 391 B,,,16
3,planning_instruments,plan_name,391 B,,,16
3,planning_instruments,plan_type,Durchführungsplan,,,16
3,planning_instruments,plan_primary_type,construction_plan,,,16
3,planning_instruments,plan_references,,Blankenese,construction_plan,16
3,planning_instruments,plan_references,,"Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten ...",landscape_protection,16
3,regulatory_ordinances,legal_ordinance,Baupolizeiverordnung,,,16
3,regulatory_ordinances,_notes,"Baupolizeiverordnung from June 8, 1938, in the applicable version",,,16
3,regulation_texts,zone_code,Fläche für besondere Zwecke (Sportplatz),,,16
3,regulation_texts,type,Fläche für besondere Zwecke (Sportplatz),,,16
3,landscape_conservation_documents,plan_references,,"Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten ...",landscape_protection,16
3,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 37 Abs. 3 HBauO,,,16
3,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 15 Abs. 2 GarVo,,,16
3,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 37 Abs. 3 HBauO,,,16
3,granted_exemption_legal_references,granted_exemptions.1.text,§ 37,,,16
3,granted_exemption_legal_references,granted_exemptions.1.text,§ 15,,,16
4,planning_instruments,plan_primary_type,development_plan,,,20
4,planning_instruments,bebauungsplan,Lokstedt 8,,,20
